id;passive_effect_id;passive_effect_value;activate_full_power_type;attribute_magnification;use_stamina_magnification;is_ignore_team_skill;stamina_infinity_type;id_id
1;900;79670;23547;60014;13772;71092;61216;4
2;16654;50948;52862;74717;59011;46256;29804;7
3;3506;78972;3725;21522;2634;6592;73912;6
4;31800;6212;79630;76655;43173;71921;45299;9
5;51288;63956;71303;6719;27350;25315;12158;9
6;55605;16713;32697;69848;44249;78025;64694;4
7;49412;32229;62027;55780;54419;86128;73979;3
8;70593;94125;53418;59911;67890;99212;87355;1
9;43227;12656;41276;82664;76424;86475;58255;5
10;7100;71407;89211;86755;3078;4312;74839;6
