id;passing_target_rate;action_skill_rate;dribble_magnification;passing_magnification;onetwo_magnification;shoot_magnification;volley_shoot_magnification;heading_shoot_magnification;tackle_magnification;block_magnification;pass_cut_magnification;clear_magnification;compete_magnification;trap_magnification
1;81406;96989;31424;92470;97352;93527;28793;36500;88930;53189;88074;95413;75765;90234
2;56347;79024;12000;40733;53197;56433;35679;79291;79221;27301;75812;62644;91061;82793
3;1483;70745;80910;47948;93846;58460;78930;98867;13019;60198;8127;78561;2084;72660
4;62874;70149;62967;71636;98691;45440;39804;47416;33190;46786;62442;3325;82560;24106
5;93677;15456;80312;88644;42667;27496;63491;13844;85629;11976;49060;69998;21668;608
6;16972;47130;15;11887;71823;84966;11109;95845;24383;95875;29787;44196;56037;64451
7;39795;59970;67467;35003;5563;44406;12393;6432;49921;79569;33696;24080;29581;46052
8;6702;48062;89571;56071;69181;81787;12161;69188;6504;66306;97487;52674;68117;9595
9;41745;40200;70173;95731;75633;99554;77996;73049;47787;22751;42988;10189;1102;41476
10;92655;85657;60330;72186;20315;88389;91960;61577;91493;13032;98918;11479;87405;4800
